event_name,severity_label,severity_score,volatility_detected,hybrid_detected,volatility_alarm_days,instability_alarm_days,peak_smoothed_z_mmd
Dot-com selloff,high,0.1143673408405857,1,1,20,21,4.392741518835953
September 11 reopening,critical,0.1816541977721262,1,1,16,20,1.7858624692875913
WorldCom selloff,critical,0.195916843390116,1,1,54,17,2.1396755269534857
Quant crisis,medium,0.0904751025370994,0,0,0,24,2.7095216270884106
Lehman crisis,critical,0.3443903798873605,1,1,68,10,2.1493105255471994
Flash crash,high,0.1230601100367244,1,1,21,49,4.87550671908617
U.S. downgrade selloff,critical,0.1658492854273201,1,0,49,1,0.963890609830863
China devaluation selloff,medium,0.1117063811102448,1,1,14,44,2.4427681367381147
Volmageddon,medium,0.1010185316254765,0,0,0,7,1.6167397844016507
Q4 2018 selloff,high,0.1560743032295425,1,1,15,17,2.653768905407907
COVID crash,critical,0.3371725495146518,1,1,49,46,6.561025756810186
Inflation selloff,high,0.1215649435050469,1,0,40,2,1.8394304252616038
Bank stress,medium,0.0691339411716215,0,0,0,0,0.1442597528413503
