ticker,asset_name,method,precision,recall,f1,fpr,mean_delay,alignment_error,n_alarms,n_event_positive_days,n_non_event_days
SPY,SPDR S&P 500 ETF Trust,Volatility percentile,0.6395563770794824,0.2254071661237785,0.33333333333333337,0.04380053908355795,-1.2,3.6,541,1535,4452
SPY,SPDR S&P 500 ETF Trust,CUSUM,0.30835214446952597,0.4449511400651466,0.3642666666666666,0.344115004492363,-60.0,0.16666666666666666,2215,1535,4452
SPY,SPDR S&P 500 ETF Trust,Instability score,0.43288590604026844,0.16807817589576549,0.24213984045049272,0.07592093441150045,-25.166666666666668,20.333333333333332,596,1535,4452
SPY,SPDR S&P 500 ETF Trust,MMD-only confirmation,0.4110929853181077,0.16416938110749185,0.23463687150837986,0.08108715184186882,-16.181818181818183,16.818181818181817,613,1535,4452
SPY,SPDR S&P 500 ETF Trust,Kappa-only confirmation,0.29238754325259514,0.11009771986970684,0.15996213913866542,0.09186882300089848,-26.2,20.5,578,1535,4452
SPY,SPDR S&P 500 ETF Trust,Hybrid volatility + instability confirmation,0.8862559241706162,0.12182410423452769,0.21420389461626577,0.005390835579514825,6.75,8.25,211,1535,4452
QQQ,Invesco QQQ Trust,Volatility percentile,0.6164079822616408,0.18110749185667752,0.2799597180261833,0.038858939802336026,-19.333333333333332,3.1666666666666665,451,1535,4452
QQQ,Invesco QQQ Trust,CUSUM,0.33860045146726864,0.48859934853420195,0.39999999999999997,0.32906558849955075,-51.57142857142857,0.14285714285714285,2215,1535,4452
QQQ,Invesco QQQ Trust,Instability score,0.3545878693623639,0.1485342019543974,0.209366391184573,0.09321653189577718,-2.1,18.4,643,1535,4452
QQQ,Invesco QQQ Trust,MMD-only confirmation,0.3327974276527331,0.13485342019543975,0.19193324061196107,0.09321653189577718,-10.727272727272727,23.818181818181817,622,1535,4452
QQQ,Invesco QQQ Trust,Kappa-only confirmation,0.3249097472924188,0.11726384364820847,0.1723312589755864,0.08400718778077268,-26.875,9.375,554,1535,4452
QQQ,Invesco QQQ Trust,Hybrid volatility + instability confirmation,0.8125,0.0762214983713355,0.13936867182846932,0.006064690026954178,10.4,15.2,144,1535,4452
IWM,iShares Russell 2000 ETF,Volatility percentile,0.5286259541984732,0.1830799735624587,0.2719685812469318,0.05648296364052138,-0.2857142857142857,4.428571428571429,524,1513,4373
IWM,iShares Russell 2000 ETF,CUSUM,0.25210084033613445,0.25776602775941837,0.2549019607843137,0.26457809284244227,-54.5,7.666666666666667,1547,1513,4373
IWM,iShares Russell 2000 ETF,Instability score,0.393026941362916,0.16391275611368142,0.23134328358208953,0.08758289503773153,-24.0,23.416666666666668,631,1513,4373
IWM,iShares Russell 2000 ETF,MMD-only confirmation,0.42251223491027734,0.17118307997356247,0.24365004703668866,0.08095129201920878,-18.4,14.9,613,1513,4373
IWM,iShares Russell 2000 ETF,Kappa-only confirmation,0.2607879924953096,0.09187045604758758,0.13587487781036167,0.09009833066544706,-35.22222222222222,22.11111111111111,533,1513,4373
IWM,iShares Russell 2000 ETF,Hybrid volatility + instability confirmation,0.5361216730038023,0.09319233311302048,0.15878378378378377,0.027898467871026754,14.2,16.2,263,1513,4373
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Volatility percentile,0.5012987012987012,0.16300675675675674,0.24601657106437222,0.06449445750755795,0.2,2.2,385,1184,2977
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,CUSUM,0.0,0.0,0.0,0.09808532079274437,,,292,1184,2977
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Instability score,0.5340909090909091,0.15878378378378377,0.24479166666666666,0.055089015787705746,-21.2,9.9,352,1184,2977
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,MMD-only confirmation,0.5086206896551724,0.14949324324324326,0.23107049608355093,0.057440376217668794,0.4444444444444444,12.666666666666666,348,1184,2977
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Kappa-only confirmation,0.347953216374269,0.10050675675675676,0.1559633027522936,0.07490762512596574,-34.90909090909091,16.636363636363637,342,1184,2977
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Hybrid volatility + instability confirmation,0.65,0.1097972972972973,0.18786127167630057,0.0235136042996305,-1.0,2.3333333333333335,200,1184,2977
TLT,iShares 20+ Year Treasury Bond ETF,Volatility percentile,0.5071022727272727,0.2808811959087333,0.3615189873417721,0.08521611001964637,-25.285714285714285,4.714285714285714,704,1271,4072
TLT,iShares 20+ Year Treasury Bond ETF,CUSUM,0.43243243243243246,0.4154209284028324,0.4237560192616372,0.17018664047151277,-30.5,8.875,1221,1271,4072
TLT,iShares 20+ Year Treasury Bond ETF,Instability score,0.33117932148626816,0.16129032258064516,0.21693121693121695,0.10166994106090373,-13.4,17.3,619,1271,4072
TLT,iShares 20+ Year Treasury Bond ETF,MMD-only confirmation,0.31210191082802546,0.15420928402832415,0.20642443391258555,0.10609037328094302,-7.181818181818182,13.181818181818182,628,1271,4072
TLT,iShares 20+ Year Treasury Bond ETF,Kappa-only confirmation,0.2804878048780488,0.12667191188040913,0.17452574525745257,0.10142436149312377,-16.416666666666668,21.5,574,1271,4072
TLT,iShares 20+ Year Treasury Bond ETF,Hybrid volatility + instability confirmation,0.3669724770642202,0.0944138473642801,0.15018773466833543,0.05083497053045186,-4.75,23.5,327,1271,4072
